nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
U234,22.124461498156162,0.0007573501889124179,0.0,0.0,4.063655441791021e-07,0.0,0.49802919003739715
U235,10.517693687231839,0.004255708335972441,0.0,0.0,3.062280402127273e-06,6.14947772529504e-10,48.59918907152443
U238,0.8678340697870758,0.00538483852819145,0.0,0.0,2.5583887771202802e-05,3.037637459113384e-09,0.10632876420090043
U236,8.794638968338099,0.0022802355111862247,0.0,0.0,9.229743487024748e-06,8.382025001850755e-11,0.3228478627865355
O16,7.507885020641647e-05,1.1300307634472474e-09,9.85908367886073e-06,0.00279185185296238,0.0,0.0,0.0
O17,0.0004089418016522194,1.4274874085476699e-05,4.707934075632837e-06,0.05942567475690348,0.0,0.0,0.0
H1,0.028664010047951723,0.0,0.0,0.0,0.0,0.0,0.0
H2,4.669166872722248e-05,0.0018598944552835907,0.0,0.0,0.0,0.0,0.0
H3,0.0,4.932605632179431e-05,0.0,0.0,0.0,0.0,0.0
He3,3.874722731439879e-05,0.0,458.6502232068187,0.0,0.0,0.0,0.0
He4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li6,0.0033282181559562626,0.0,0.0013879281647796286,0.0,0.0,0.0,0.0
Li7,0.003922945742019626,1.3943434043973133e-05,0.0,0.0,0.0,0.0,0.0
Be9,0.0008673331205074183,0.039095997962150415,9.739236194255354e-09,0.012760743232557095,0.0,0.0,0.0
B10,0.04309325569894965,0.0,0.003582512740607909,331.69856674027506,0.0,0.0,0.0
B11,0.0004872207406022421,9.473248784715483e-07,3.30946563897314e-07,1.7662690631947096e-05,0.0,0.0,0.0
N14,0.0064838551561592584,4.1577950028642474e-07,0.17403794089967728,0.03010726837367947,0.0,0.0,0.0
N15,1.1774015707388194e-05,6.833978278007544e-06,4.0068280748348555e-06,2.0903299550771164e-05,0.0,0.0,0.0
F19,0.0014046452247253362,3.119517479117663e-06,0.0003994892757753902,0.00514307121558802,0.0,0.0,0.0
Na22,22.19979140073539,2.11116090164e-06,2538.180049083712,2.6306072811589707,0.0,0.0,0.0
Na23,0.048366323736825444,1.8963233137346231e-06,0.0005210764695517846,0.00022797845092508543,0.0,0.0,0.0
Mg24,0.0048774414996932075,3.6313285342630496e-08,0.0005762925226588264,0.0018734642403158018,0.0,0.0,0.0
Mg25,0.017135437408500303,0.0003200606859938117,0.0005817239977235496,0.005649535287303898,0.0,0.0,0.0
Mg26,0.0034888775724161683,2.577607980370673e-05,6.850779599352314e-06,6.103960052386914e-05,0.0,0.0,0.0
Al27,0.021297264699322468,8.085525398378795e-07,0.0013498621930759698,0.0002531450291275673,0.0,0.0,0.0
Si28,0.015153742073230435,1.6726997493148917e-09,0.0024876206691424717,0.0011119248042694037,0.0,0.0,0.0
Si29,0.011565136173877376,4.1300332144684736e-05,0.001328286482077443,0.0021066647279753205,0.0,0.0,0.0
Si30,0.02872987823112848,3.446702829436939e-05,8.46845784490292e-06,4.314591661848093e-05,0.0,0.0,0.0
P31,0.017541715892635947,7.981885663874235e-07,0.011435429024086311,0.0007133527263631203,0.0,0.0,0.0
S32,0.04637839088070757,3.123216154681109e-09,0.023444323121230324,0.03168470294095624,0.0,0.0,0.0
S33,0.030546443843749806,7.075263853619994e-05,0.021677413719923204,0.17535992962761826,0.0,0.0,0.0
S34,0.019410873132930995,1.5942997087066562e-05,0.00028119917222992963,0.0011643392483144733,0.0,0.0,0.0
S36,0.015496326513308472,9.268640869190791e-05,1.8361576394505682e-07,1.8995675445007217e-05,0.0,0.0,0.0
Cl35,3.710923424245872,2.7721998176038447e-07,0.08588658937577104,0.006830204201841913,0.0,0.0,0.0
Cl37,0.03793161667084703,4.3717794894419156e-05,6.219733471547876e-05,0.00013675766344244236,8.848706893792031e-12,0.0,0.0
Ar36,0.4398714707080303,1.5121460422583597e-08,0.05167651864380679,0.029601225469600412,0.0,0.0,0.0
Ar38,0.0703327112845045,1.4857443802347474e-05,0.0004304080219559141,0.0021208115555493155,0.0,0.0,0.0
Ar40,0.05731268633447273,0.00011723329417398662,7.068554501948084e-06,7.128121728055173e-05,3.268450234989777e-08,0.0,0.0
K39,0.1854605335938554,2.3660364775328385e-07,0.03865621110269027,0.01427059776671647,0.0,0.0,0.0
K40,2.5886151203986123,0.00019212456009856115,0.351473227615601,0.10318366664894868,0.0,0.0,0.0
K41,0.13741099828612102,4.685502805481873e-06,0.0006887377505164241,0.0003210317404256055,0.0,0.0,0.0
Ca40,0.03687135522423063,3.871150357208161e-09,0.036541961892601296,0.0135277245338488,0.0,0.0,0.0
Ca42,0.06260240809436242,1.523037349385907e-05,0.001250676776248676,0.0008426948619681216,0.0,0.0,0.0
Ca43,1.0273905896428053,0.00022158072447530237,0.001081048051700369,0.0010126163187641716,0.0,0.0,0.0
Ca44,0.07815475219314741,3.6453610627005684e-05,2.8535732989016865e-05,1.4471571702181614e-05,1.0701865376484094e-11,0.0,0.0
Ca46,0.06433194364635958,8.966993211370462e-05,1.0789226744291594e-06,7.341171487040792e-08,1.7784126306299578e-09,0.0,0.0
Ca48,0.09412368606760761,0.00014222862988490264,9.922558838221702e-09,1.7558109831805719e-09,1.0389875854211322e-08,0.0,0.0
Sc45,2.3443411604544946,1.6061928533548645e-05,0.008385483412421953,0.00015646168073998835,0.0,0.0,0.0
Ti46,0.05635860798968874,1.7451131847291844e-06,0.003648808081808532,0.00047252533510979463,0.0,0.0,0.0
Ti47,0.16551764145081135,0.00012049140788576018,0.006607361737146781,0.003155547342971993,0.0,0.0,0.0
Ti48,0.7206128556410082,2.330953811675823e-05,0.0001251185874087974,2.2304228286070774e-05,0.0,0.0,0.0
Ti49,0.16521505530964206,0.00019417348328670857,0.00038357671443663453,4.824173128276889e-05,0.0,0.0,0.0
Ti50,0.016027226695939364,5.6794402781059996e-05,3.1723927627982376e-06,3.38328078013086e-06,2.537994262930221e-11,0.0,0.0
V50,5.024985334350202,0.00010448255794269498,0.0032039513189248336,6.645422932904624e-05,0.0,0.0,0.0
V51,0.4379394461687162,3.831032591522258e-05,0.0001887644967977373,9.010683567028895e-06,0.0,0.0,0.0
Cr50,1.3428676129523978,8.674779379439429e-07,0.01725496230447901,0.0012418060770034043,0.0,0.0,0.0
